"序号","主题簇","论文","年份","发表状态","主要机构","核心贡献","官方代码状态（截至2026-08-06）","论文链接","代码链接","对目标项目的价值","关键局限","复现优先级"
"11","环境与运行时","WorkArena++: Towards Compositional Planning and Reasoning-based Common Knowledge Work Tasks","2024","NeurIPS 2024 Datasets and Benchmarks","ServiceNow Research","把基础任务组合成长程知识工作，检验规划与组合泛化","与 WorkArena 共用官方代码","https://proceedings.neurips.cc/paper_files/paper/2024/hash/0b82662b6c32e887bb252a74d8cb2d5e-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/ServiceNow/WorkArena","借鉴可组合任务图、子目标与长程依赖","组合难度可能与真实用户价值不完全一致；部署仍较重","B-任务设计参考"
"12","环境与运行时","The BrowserGym Ecosystem for Web Agent Research","2024","arXiv 预印本","ServiceNow Research; Mila; CMU; McGill","以 Gymnasium/POMDP 统一观察与动作，并用 AgentLab 管理并行实验、重试、轨迹和版本日志","BrowserGym 与 AgentLab 均有官方代码，Apache-2.0","https://arxiv.org/abs/2412.05467","https://github.com/ServiceNow/BrowserGym ; https://github.com/ServiceNow/AgentLab","目标项目的 runtime/harness 主支柱","真实网站仍会漂移、碰撞、触发机器人检测；完整浏览器复现有环境成本","S-精选复现"
"13","环境与运行时","OSWorld: Benchmarking Multimodal Agents for Open-Ended Tasks in Real Computer Environments","2024","NeurIPS 2024 Datasets and Benchmarks","University of Hong Kong; Salesforce Research; Carnegie Mellon University","在真实桌面操作系统中提供 369 个开放任务和 134 个评测函数","有官方代码","https://proceedings.neurips.cc/paper_files/paper/2024/hash/5d413e48f84dc61244b6be550f1cd8f5-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/xlang-ai/OSWorld","桌面环境、状态准备和程序化 evaluator 的重要上界参考","虚拟机与 GUI 复现重；审计指出部分任务有效性和评测问题","B-后期扩展"
"14","环境与运行时","AppWorld: A Controllable World of Apps and People for Benchmarking Interactive Coding Agents","2024","ACL 2024 Best Resource Paper","Stony Brook University; Allen Institute for AI","提供 9 个应用、457 个 API、750 个任务及确定性数据库状态差分与副作用检查","有官方代码与数据，Apache-2.0","https://aclanthology.org/2024.acl-long.850/","https://github.com/StonyBrookNLP/appworld","目标项目的状态世界和 evaluator 主支柱","安装数据和沙箱有成本；以代码 Agent 为主；任务仍由预设应用边界限定","S-精选复现"
"15","环境与运行时","ToolSandbox: A Stateful, Conversational, Interactive Evaluation Benchmark for LLM Tool Use Capabilities","2025","Findings of NAACL 2025","Apple","在可变世界状态中测试工具依赖、信息不足和多轮用户交互，以 milestone/minefield DAG 允许多条有效路径","有官方代码；Apple 自定义许可","https://aclanthology.org/2025.findings-naacl.65/","https://github.com/apple/ToolSandbox","目标项目的状态依赖、用户模拟和多路径评测主支柱","用户模拟器仍有约 8% 错误；milestone 人工制作难扩展；源码会执行工具代码，需外层容器","S-精选复现"
"16","环境与运行时","τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains","2025","ICLR 2025","Sierra","引入用户—Agent—工具三方交互、业务策略、最终数据库状态评分与 pass^k 稳定性","旧仓库已标注过时；维护版本迁至 tau2-bench，MIT","https://openreview.net/forum?id=roNSXZpUDN","https://github.com/sierra-research/tau2-bench","吸收用户/策略层和 pass^k，但不直接复用旧评分器","ABC 审计发现 do-nothing 与 dump-database 等捷径可获得异常高分，旧结果须谨慎解释","A-重要反例与指标"
"17","环境与运行时","τ²-bench: Evaluating Conversational Agents in a Dual-Control Environment","2025","arXiv 预印本","Sierra","让用户与 Agent 都能采取环境动作，检验共享控制、协作与信息不对称","有官方代码，纳入 tau2-bench","https://arxiv.org/abs/2506.07982","https://github.com/sierra-research/tau2-bench","为双控制用户模拟和协作任务提供扩展路线","比单 Agent 环境更难定位失败归因；依赖模拟用户质量","B-第二阶段"
"18","环境与运行时","TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks","2024","arXiv 预印本","Carnegie Mellon University; Duke University; Northeastern University","构建公司式自托管环境，让 Agent 跨浏览器、代码、沟通和办公工具完成工作","有官方代码","https://arxiv.org/abs/2412.14161","https://github.com/TheAgentCompany/TheAgentCompany","面向 AGI 产品的跨工具长程任务和组织情境参考","部署、资源和评测成本高；复现吞吐量低","C-作品集扩展"
"19","评测与可靠性","GAIA: a benchmark for General AI Assistants","2024","ICLR 2024","Meta AI; Hugging Face","以真实问题测试推理、检索、文件和工具组合，强调通用助理能力","官方数据集与评测入口可用","https://openreview.net/forum?id=fibxvahvs3","https://huggingface.co/datasets/gaia-benchmark/GAIA","作为开放域能力外部验证集","答案型评测对过程安全、状态副作用和恢复能力覆盖有限","C-外部评测"
"20","评测与可靠性","SWE-bench: Can Language Models Resolve Real-World GitHub Issues?","2024","ICLR 2024 Oral","Princeton","把真实 GitHub issue、代码库和测试转化为可执行的软件工程评测","有官方代码","https://openreview.net/forum?id=VTF8yNQM66","https://github.com/SWE-bench/SWE-bench","借鉴容器化任务、测试驱动结果验证和版本固定","运行成本高；测试可能不完全表达需求；与通用产品 Agent 存在域差异","B-评测工程参考"
"21","评测与可靠性","AgentBoard: An Analytical Evaluation Board of Multi-turn LLM Agents","2024","ICLR 2024 Workshop","HKUST; University of Illinois","提供细粒度进度率和统一可视化，避免只报告最终成功率","有官方代码","https://openreview.net/forum?id=09Y7J22N9c","https://github.com/hkust-nlp/AgentBoard","借鉴进度、错误类型和轨迹看板","非主会论文；聚合多个旧环境，继承其有效性问题","C-可视化参考"
"22","评测与可靠性","GTA: A Benchmark for General Tool Agents","2024","NeurIPS 2024 Datasets and Benchmarks","Shanghai Jiao Tong University; Shanghai AI Laboratory","以真实用户问题、感知输入和工具链测试通用工具 Agent","有官方代码","https://proceedings.neurips.cc/paper_files/paper/2024/hash/8a75ee6d4b2eb0b777f549a32a5a5c28-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/open-compass/GTA","多模态工具链和真实查询任务参考","工具/数据依赖较多；确定性状态副作用不是核心","C-外部评测"
"23","评测与可靠性","StableToolBench: Towards Stable Large-Scale Benchmarking on Tool Learning of Large Language Models","2024","Findings of ACL 2024","Tsinghua; Google Research; University of Hong Kong","通过本地工具替身与稳定评测器缓解真实 API 漂移和不可靠评分","有官方代码","https://aclanthology.org/2024.findings-acl.664/","https://github.com/THUNLP-MT/StableToolBench","直接支撑环境版本化、离线替身和可复现实验","本地替身牺牲部分真实服务行为；主要面向 ToolBench 生态","A-可靠性组件"
"24","评测与可靠性","RoTBench: A Multi-Level Benchmark for Evaluating the Robustness of Large Language Models in Tool Learning","2024","EMNLP 2024","Fudan University; Shanghai AI Laboratory","从工具集合、工具名称和参数等层面系统扰动，评估工具学习鲁棒性","有官方代码","https://aclanthology.org/2024.emnlp-main.19/","https://github.com/Junjie-Ye/RoTBench","为 schema drift、重命名和参数扰动提供故障模板","扰动偏接口表层，长程状态恢复和业务策略覆盖不足","B-故障库参考"
"25","评测与可靠性","ToolEmu: Identifying the Risks of LM Agents with an LM-Emulated Sandbox","2024","ICLR 2024 Spotlight","University of Toronto; Vector Institute; Stanford","用 LM 模拟沙箱和红队案例寻找 Agent 工具使用风险","有官方代码","https://arxiv.org/abs/2309.15817","https://github.com/ryoungj/ToolEmu","安全风险分类、风险任务生成和审查提示参考","LM 模拟环境不如真实状态机确定；安全判断仍可能受模型偏差影响","B-安全参考"
"26","评测与可靠性","AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents","2024","NeurIPS 2024 Datasets and Benchmarks","ETH Zurich; Invariant Labs","在 4 个状态域、74 个工具和 97 个任务中动态组合注入攻击，并分别评估效用和安全","有官方代码，MIT","https://proceedings.neurips.cc/paper_files/paper/2024/hash/97091a5177d8dc64b1da8bf3e1f6fb54-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/ethz-spylab/agentdojo","目标项目的故障/攻击注入及 safe-success 主支柱","集中于间接提示注入；API 仍在变化；安全任务与一般恢复故障需分层","S-精选复现"
"27","基准有效性与前沿","Establishing Best Practices for Building Rigorous Agentic Benchmarks","2025","NeurIPS 2025 Datasets and Benchmarks","UIUC; Stanford; UC Berkeley; Yale; Princeton; MIT; Amazon; UK AISI","提出 ABC 清单并审计 10 个主流基准，分离任务有效性、结果有效性和报告有效性","有官方审计脚本/补丁；仓库未发现明确 LICENSE","https://proceedings.neurips.cc/paper_files/paper/2025/hash/f316275b44ee2de533102913828a8107-Abstract-Datasets_and_Benchmarks_Track.html","https://github.com/uiuc-kang-lab/agentic-benchmarks","目标项目的有效性门禁、反作弊 baseline 和报告规范主支柱","是方法学与审计工作，不直接提供通用 runtime；代码复用须先澄清许可","S-精选复现"
"28","基准有效性与前沿","AppWorld-UL: Benchmarking Diverse Agent-User Interactions for Tool-Use","2026","arXiv 预印本","New York University; Allen Institute for AI; University of Southern California; Stony Brook University","把 AppWorld 扩展为 516 个用户在环任务，覆盖澄清、协商与多轮反馈","作者声明代码/数据在项目站点；沿用 AppWorld 生态","https://arxiv.org/abs/2607.20536","https://appworld.dev/","为受约束用户模拟器和用户体验指标提供最新任务设计","刚发布，尚缺长期复现与社区审计；用户模拟质量仍是外部有效性风险","A-前沿跟进"
"29","基准有效性与前沿","Beyond Function Calling: Benchmarking Tool-Using Agents under Tool-Environment Unreliability (ToolBench-X)","2026","arXiv 预印本","Shanghai Jiao Tong University; Southeast University","系统注入 specification drift、invocation error、execution failure、output drift、cross-source conflict 五类不可靠性","有官方代码","https://arxiv.org/abs/2606.25819","https://github.com/Foreverskyou/ToolBench-X","可直接转化为目标项目的五类可恢复故障注入器","刚发布；主要是工具环境故障，状态副作用和用户策略覆盖仍有限","A-故障库必吸收"
"30","基准有效性与前沿","E-Bench: Benchmarking Multi-Step Tool-Use Agents in Real-World Product Scenarios","2026","arXiv 预印本","Tencent Hunyuan; Tsinghua AIR","以图引导数据库填充、生成器—求解器非对称和确定性状态差分构造 323 个产品任务","未定位到作者公开代码仓库","https://arxiv.org/abs/2607.23722","","为可扩展合成状态环境、信息缺口和工具缺口提供最新方法","刚发布且代码未公开；全合成任务与真实用户分布仍有差距","A-任务生成必吸收"
